combination_id,initial_sigma_v,initial_sigma_omega,initial_sigma_obs,optimized_sigma_vx,optimized_sigma_vy,optimized_sigma_omega,optimized_sigma_obs,optimized_d,negative_log_likelihood,optimization_success
1,0.01,0.001,0.5,0.03329236004576099,0.02801912924599576,0.0007851859679623697,0.5057215807437832,0.14390402841496988,1719.360675212282,True
2,0.01,0.001,1.0,0.03542654077740314,0.030880985027071213,0.004178998787983154,0.4551797453871505,0.29482383875725066,1546.0236650687905,True
3,0.01,0.01,0.5,0.03901703814741649,0.03441418668317529,0.03376429395132573,0.4026397837808254,0.39643511709423646,1387.1572402321171,True
4,0.01,0.01,1.0,0.04777612847203184,0.03209989854934864,0.028181016606511865,0.402061677038875,0.38344518144069795,1385.1414302037715,True
5,0.01,0.1,0.5,0.038041971103211655,0.03649255143203864,0.0453463924028926,0.3952912579591581,0.4090909163102707,1372.062596840204,True
6,0.01,0.1,1.0,0.0477717868134,0.03209965397618525,0.028180173254617358,0.40206901984240917,0.38345221216851505,1385.1414326521256,True
7,0.01,0.5,0.5,0.009999985670986897,0.009999985114826566,0.49999994339740395,0.5000008929189443,0.22999997179195028,1719.3158345408576,True
8,0.01,0.5,1.0,0.007429431859434324,0.010173255394164344,0.4142536029152999,0.7072212570819948,0.3058060720715448,1981.0071732027416,True
9,0.1,0.001,0.5,0.033532920151601114,0.031829026665283346,0.0005222445734191286,0.4732853545417106,0.12415515317800292,1618.3761663468497,True
10,0.1,0.001,1.0,0.04777607821631837,0.03210015393088987,0.028181023204701332,0.4020621450814968,0.383441784600354,1385.1414302408687,True
11,0.1,0.01,0.5,0.0380418533341432,0.036492418346464064,0.045346460022655403,0.3952916354472265,0.4090912374475404,1372.0625968378386,True
12,0.1,0.01,1.0,0.03332625081580834,0.03332625081580834,6.670774151242259,0.33992328230932556,0.08331628495762791,2117.700505601276,True
13,0.1,0.1,0.5,0.048246785888932296,0.04120963892655231,0.08454178983763766,0.39016155031036476,0.4114663358688322,1406.0895790704024,True
14,0.1,0.1,1.0,0.030502747310788808,0.01742570448297858,0.04341878049815622,0.45429834861852164,0.5781366226096493,1585.9128585729304,True
15,0.1,0.5,0.5,0.10000232987229138,0.10000233398195238,0.5000022383708175,0.5000022336428309,0.23000018024115837,1720.7119958667472,True
16,0.1,0.5,1.0,0.04262836681958876,0.017522755943691556,0.1817478851760464,0.39894294257992,0.4185523786010989,1428.908811540788,True
17,0.5,0.001,0.5,0.033680028800810516,0.02632961610982271,0.0019074419219028322,0.46793533899777373,0.2869714288912947,1578.336684397781,True
18,0.5,0.001,1.0,0.3332372326540952,0.3332372366939404,3.3359284872109956,0.6698090602713684,0.15662423561581607,2424.140060995109,True
19,0.5,0.01,0.5,0.0379394656345471,0.03840723529696945,0.01947266622390401,0.4070004290848945,0.3947912170038447,1393.632669584316,True
20,0.5,0.01,1.0,0.03794126254728273,0.0384070283096086,0.019472110130229765,0.4070013990948758,0.394785982368325,1393.6326694960032,True
21,0.5,0.1,0.5,0.037940507024977,0.038406749914668144,0.01947221692149053,0.4070013116133534,0.39478605158847824,1393.6326694755228,True
22,0.5,0.1,1.0,0.3332919879918004,0.33329198762559964,3.4008252462974196,0.6699174756994726,0.15664832785191954,2432.3505493439493,True
23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.23,2114.8417104088935,True
24,0.5,0.5,1.0,0.08885728682474921,0.03839983826880417,0.20543441843305327,0.3639801334151358,0.365229971398435,1442.6012538493062,True
25,1.0,0.001,0.5,1.0000035240009268,1.000003530881168,0.001000024152222274,0.49999980931098426,0.2299998928574154,13998.450690107813,True
26,1.0,0.001,1.0,0.04388185232547528,0.03339661441630362,0.03154983553305688,0.4315297382402712,0.2098795357056096,1496.20215413419,True
27,1.0,0.01,0.5,1.0000013040654658,1.0000012975344117,0.01000144266034141,0.5000013658646888,0.2300001040496205,13944.69317359165,True
28,1.0,0.01,1.0,0.037940527697013254,0.03840712581964233,0.019472248264302456,0.40700166518164754,0.39478636888518703,1393.6326694804707,True
29,1.0,0.1,0.5,0.9999999999138526,0.9999999999138526,0.10000000085286068,0.4999999999577877,0.22999999998104756,2388.0168605026674,True
30,1.0,0.1,1.0,0.045142267500318696,0.031764902898023833,0.07822461463639536,0.39432110012232713,0.4325247793730165,1389.5730112665797,True
31,1.0,0.5,0.5,0.993555457488854,0.9937030281102186,0.4932674447699051,0.5003034475975738,0.22828387269670214,2434.5360499066874,True
32,1.0,0.5,1.0,0.024875284117345294,0.06823223403689227,0.2877649288850468,0.44731125108569975,0.2442524351791695,1561.1129106519936,True
